From	Entry	Entry Name	Gene Names
P35222	P35222	CTNB1_HUMAN	CTNNB1 CTNNB OK/SW-cl.35 PRO2286
O95977	O95977	S1PR4_HUMAN	S1PR4 EDG6
P41219	P41219	PERI_HUMAN	PRPH NEF4 PRPH1
O75083	O75083	WDR1_HUMAN	WDR1
Q9P1A6	Q9P1A6	DLGP2_HUMAN	DLGAP2 C8orf68 DAP2 ERICH1-AS1
O75899	O75899	GABR2_HUMAN	GABBR2 GPR51 GPRC3B
Q96RT1	Q96RT1	ERBIN_HUMAN	ERBIN ERBB2IP KIAA1225 LAP2
Q96FF7	Q96FF7	MISP3_HUMAN	MISP3
Q96N21	Q96N21	AP4AT_HUMAN	TEPSIN C17orf56 ENTHD2
Q92529	Q92529	SHC3_HUMAN	SHC3 NSHC SHCC
Q9NQZ2	Q9NQZ2	SAS10_HUMAN	UTP3 CRLZ1 SAS10
O43918	O43918	AIRE_HUMAN	AIRE APECED
P62277	P62277	RS13_HUMAN	RPS13
Q9HB20	Q9HB20	PKHA3_HUMAN	PLEKHA3 FAPP1
Q9NQ34	Q9NQ34	TMM9B_HUMAN	TMEM9B C11orf15 UNQ712/PRO1375
P49773	P49773	HINT1_HUMAN	HINT1 HINT PKCI1 PRKCNH1
P45381	P45381	ACY2_HUMAN	ASPA ACY2 ASP
Q00535	Q00535	CDK5_HUMAN	CDK5 CDKN5 PSSALRE
Q9NS87	Q9NS87	KIF15_HUMAN	KIF15 KLP2 KNSL7
O00232	O00232	PSD12_HUMAN	PSMD12
O75912	O75912	DGKI_HUMAN	DGKI
Q8IVL1	Q8IVL1	NAV2_HUMAN	NAV2 HELAD1 KIAA1419 POMFIL2 RAINB1 STEERIN2
O15397	O15397	IPO8_HUMAN	IPO8 RANBP8
Q8N6D5	Q8N6D5	ANR29_HUMAN	ANKRD29
P15880	P15880	RS2_HUMAN	RPS2 RPS4
Q9UBN7	Q9UBN7	HDAC6_HUMAN	HDAC6 KIAA0901 JM21
Q9BX66	Q9BX66	SRBS1_HUMAN	SORBS1 KIAA0894 KIAA1296 SH3D5
O95069	O95069	KCNK2_HUMAN	KCNK2 TREK TREK1
Q96QG7	Q96QG7	MTMR9_HUMAN	MTMR9 C8orf9 MTMR8
O14681	O14681	EI24_HUMAN	EI24 PIG8
O43561	O43561	LAT_HUMAN	LAT
Q13315	Q13315	ATM_HUMAN	ATM
Q9BV23	Q9BV23	ABHD6_HUMAN	ABHD6
Q14184	Q14184	DOC2B_HUMAN	DOC2B DOC2BL
O75808	O75808	CAN15_HUMAN	CAPN15 SOLH
Q8TF76	Q8TF76	HASP_HUMAN	HASPIN GSG2
Q9NX02	Q9NX02	NALP2_HUMAN	NLRP2 NALP2 NBS1 PAN1 PYPAF2
O14519	O14519	CDKA1_HUMAN	CDK2AP1 CDKAP1 DOC1
Q9Y446	Q9Y446	PKP3_HUMAN	PKP3
Q9P227	Q9P227	RHG23_HUMAN	ARHGAP23 KIAA1501
Q99767	Q99767	APBA2_HUMAN	APBA2 MINT2 X11L
Q6P1M0	Q6P1M0	S27A4_HUMAN	SLC27A4 ACSVL4 FATP4
Q9NX40	Q9NX40	OCAD1_HUMAN	OCIAD1 ASRIJ OCIA
Q9Y613	Q9Y613	FHOD1_HUMAN	FHOD1 FHOS FHOS1
Q96AP4	Q96AP4	ZUP1_HUMAN	ZUP1 C6orf113 ZUFSP
P14678	P14678	RSMB_HUMAN	SNRPB COD SNRPB1
Q99708	Q99708	CTIP_HUMAN	RBBP8 CTIP
P41091	P41091	IF2G_HUMAN	EIF2S3 EIF2G
Q9BYT8	Q9BYT8	NEUL_HUMAN	NLN AGTBP KIAA1226
P13797	P13797	PLST_HUMAN	PLS3
P41231	P41231	P2RY2_HUMAN	P2RY2 P2RU1
Q9BXS6	Q9BXS6	NUSAP_HUMAN	NUSAP1 ANKT BM-037 PRO0310
P04406	P04406	G3P_HUMAN	GAPDH GAPD CDABP0047 OK/SW-cl.12
O75154	O75154	RFIP3_HUMAN	RAB11FIP3 ARFO1 KIAA0665
P61619	P61619	S61A1_HUMAN	SEC61A1 SEC61A
Q9NRX4	Q9NRX4	PHP14_HUMAN	PHPT1 PHP14 CGI-202 HSPC141
Q9NZ53	Q9NZ53	PDXL2_HUMAN	PODXL2 UNQ1861/PRO3742
Q13516	Q13516	OLIG2_HUMAN	OLIG2 BHLHB1 BHLHE19 PRKCBP2 RACK17
Q9BXF3	Q9BXF3	CECR2_HUMAN	CECR2 KIAA1740
Q8NBN7	Q8NBN7	RDH13_HUMAN	RDH13 SDR7C3 PSEC0082 UNQ736/PRO1430
Q53SF7	Q53SF7	COBL1_HUMAN	COBLL1 KIAA0977
Q96QV6	Q96QV6	H2A1A_HUMAN	H2AC1 H2AFR HIST1H2AA
Q6ZP01	Q6ZP01	RBM44_HUMAN	RBM44
O15516	O15516	CLOCK_HUMAN	CLOCK BHLHE8 KIAA0334
Q9UBS5	Q9UBS5	GABR1_HUMAN	GABBR1 GPRC3A
Q8N386	Q8N386	LRC25_HUMAN	LRRC25 MAPA UNQ6169/PRO20174
Q9H0F6	Q9H0F6	SHRPN_HUMAN	SHARPIN SIPL1 PSEC0216
B4DS77	B4DS77	SHSA9_HUMAN	SHISA9
Q14541	Q14541	HNF4G_HUMAN	HNF4G NR2A2
P84074	P84074	HPCA_HUMAN	HPCA BDR2
Q13123	Q13123	RED_HUMAN	IK RED RER
P80192	P80192	M3K9_HUMAN	MAP3K9 MLK1 PRKE1
Q9UHA4	Q9UHA4	LTOR3_HUMAN	LAMTOR3 MAP2K1IP1 MAPKSP1 PRO2783
Q14CZ0	Q14CZ0	HAPR1_HUMAN	HAPSTR1 C16orf72 TAPR1
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS ADRACALA GL003
P22392	P22392	NDKB_HUMAN	NME2 NM23B
Q8WUF8	Q8WUF8	ARB2A_HUMAN	ARB2A C5orf21 FAM172A
Q8N5C6	Q8N5C6	SRBD1_HUMAN	SRBD1
Q93045	Q93045	STMN2_HUMAN	STMN2 SCG10 SCGN10
P06744	P06744	G6PI_HUMAN	GPI
P57796	P57796	CABP4_HUMAN	CABP4
Q96L91	Q96L91	EP400_HUMAN	EP400 CAGH32 KIAA1498 KIAA1818 TNRC12
Q2M1V0	Q2M1V0	ISX_HUMAN	ISX RAXLX
Q9NXN4	Q9NXN4	GDAP2_HUMAN	GDAP2
Q8IWQ3	Q8IWQ3	BRSK2_HUMAN	BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12
B2RXH4	B2RXH4	BTBDI_HUMAN	BTBD18
Q7Z6G3	Q7Z6G3	NECA2_HUMAN	NECAB2 EFCBP2
Q8IZ21	Q8IZ21	PHAR4_HUMAN	PHACTR4 PRO2963
Q8N573	Q8N573	OXR1_HUMAN	OXR1 Nbla00307
Q6ZN44	Q6ZN44	UNC5A_HUMAN	UNC5A KIAA1976 UNC5H1
P32322	P32322	P5CR1_HUMAN	PYCR1
Q9Y4R8	Q9Y4R8	TELO2_HUMAN	TELO2 KIAA0683
P14625	P14625	ENPL_HUMAN	HSP90B1 GRP94 HSPC4 TRA1
Q8WU79	Q8WU79	SMAP2_HUMAN	SMAP2 SMAP1L
Q8NI35	Q8NI35	INADL_HUMAN	PATJ CIPP INADL
P55809	P55809	SCOT1_HUMAN	OXCT1 OXCT SCOT
P49750	P49750	YLPM1_HUMAN	YLPM1 C14orf170 ZAP3
Q9Y3D7	Q9Y3D7	TIM16_HUMAN	PAM16 MAGMAS TIM16 TIMM16 CGI-136
Q8N7W2	Q8N7W2	BEND7_HUMAN	BEND7 C10orf30
Q6ZVM7	Q6ZVM7	TM1L2_HUMAN	TOM1L2
Q9BVJ6	Q9BVJ6	UT14A_HUMAN	UTP14A SDCCAG16
Q7Z5N4	Q7Z5N4	SDK1_HUMAN	SDK1
Q12904	Q12904	AIMP1_HUMAN	AIMP1 EMAP2 SCYE1
P08590	P08590	MYL3_HUMAN	MYL3
Q0Z7S8	Q0Z7S8	FABP9_HUMAN	FABP9
Q6Q788	Q6Q788	APOA5_HUMAN	APOA5 RAP3 UNQ411/PRO773
Q15596	Q15596	NCOA2_HUMAN	NCOA2 BHLHE75 SRC2 TIF2
Q96EY8	Q96EY8	MMAB_HUMAN	MMAB
P0DJD7	P0DJD7	PEPA4_HUMAN	PGA4
O14525	O14525	ASTN1_HUMAN	ASTN1 ASTN KIAA0289
Q9Y343	Q9Y343	SNX24_HUMAN	SNX24 SBBI31 UNQ654/PRO1284
Q5VUB5	Q5VUB5	F1711_HUMAN	FAM171A1 APCN C10orf38
Q9BQS8	Q9BQS8	FYCO1_HUMAN	FYCO1 ZFYVE7
Q6ZWB6	Q6ZWB6	KCTD8_HUMAN	KCTD8
O95140	O95140	MFN2_HUMAN	MFN2 CPRP1 KIAA0214
P98161	P98161	PKD1_HUMAN	PKD1
P35227	P35227	PCGF2_HUMAN	PCGF2 MEL18 RNF110 ZNF144
P01567	P01567	IFNA7_HUMAN	IFNA7
Q8WW22	Q8WW22	DNJA4_HUMAN	DNAJA4
P21246	P21246	PTN_HUMAN	PTN HBNF1 NEGF1
O95613	O95613	PCNT_HUMAN	PCNT KIAA0402 PCNT2
Q09028	Q09028	RBBP4_HUMAN	RBBP4 RBAP48
Q9Y2V2	Q9Y2V2	CHSP1_HUMAN	CARHSP1
O60238	O60238	BNI3L_HUMAN	BNIP3L BNIP3A BNIP3H NIX
O95477	O95477	ABCA1_HUMAN	ABCA1 ABC1 CERP
Q9UPQ9	Q9UPQ9	TNR6B_HUMAN	TNRC6B KIAA1093
Q13554	Q13554	KCC2B_HUMAN	CAMK2B CAM2 CAMK2 CAMKB
Q96S06	Q96S06	LMF1_HUMAN	LMF1 C16orf26 TMEM112 HMFN1876 JFP11
O60883	O60883	G37L1_HUMAN	GPR37L1 ETBRLP2
P32881	P32881	IFNA8_HUMAN	IFNA8
O00592	O00592	PODXL_HUMAN	PODXL PCLP PCLP1
Q5FWF4	Q5FWF4	ZRAB3_HUMAN	ZRANB3
Q8TES7	Q8TES7	FBF1_HUMAN	FBF1 ALB KIAA1863
P40763	P40763	STAT3_HUMAN	STAT3 APRF
Q8WWN9	Q8WWN9	ICEF1_HUMAN	IPCEF1 KIAA0403
Q01534	Q01534	TSPY1_HUMAN	TSPY1 TSPY
Q14141	Q14141	SEPT6_HUMAN	SEPTIN6 KIAA0128 SEP2 SEPT6
Q6BDS2	Q6BDS2	BLT3A_HUMAN	BLTP3A C6orf107 UHRF1BP1
Q99259	Q99259	DCE1_HUMAN	GAD1 GAD GAD67
Q8IWW6	Q8IWW6	RHG12_HUMAN	ARHGAP12
Q13586	Q13586	STIM1_HUMAN	STIM1 GOK
Q7LDG7	Q7LDG7	GRP2_HUMAN	RASGRP2 CDC25L MCG7
P10515	P10515	ODP2_HUMAN	DLAT DLTA
O95171	O95171	SCEL_HUMAN	SCEL
Q14207	Q14207	NPAT_HUMAN	NPAT CAND3 E14
P10114	P10114	RAP2A_HUMAN	RAP2A
P41587	P41587	VIPR2_HUMAN	VIPR2 VIP2R
Q8NEG7	Q8NEG7	DEN6B_HUMAN	DENND6B FAM116B
Q9Y4P8	Q9Y4P8	WIPI2_HUMAN	WIPI2 CGI-50
Q01064	Q01064	PDE1B_HUMAN	PDE1B PDES1B
Q5VWQ8	Q5VWQ8	DAB2P_HUMAN	DAB2IP AF9Q34 AIP1 KIAA1743
Q8N370	Q8N370	LAT4_HUMAN	SLC43A2 LAT4 PP7664
Q96AC6	Q96AC6	KIFC2_HUMAN	KIFC2
P40429	P40429	RL13A_HUMAN	RPL13A
Q8N9Z2	Q8N9Z2	CC71L_HUMAN	CCDC71L C7orf74
Q14703	Q14703	MBTP1_HUMAN	MBTPS1 KIAA0091 S1P SKI1
P78364	P78364	PHC1_HUMAN	PHC1 EDR1 PH1
O15049	O15049	N4BP3_HUMAN	N4BP3 KIAA0341
O75362	O75362	ZN217_HUMAN	ZNF217 ZABC1
Q8NHU6	Q8NHU6	TDRD7_HUMAN	TDRD7 PCTAIRE2BP
Q93075	Q93075	TATD2_HUMAN	TATDN2 KIAA0218
Q9HAT8	Q9HAT8	PELI2_HUMAN	PELI2
Q9HCK1	Q9HCK1	ZDBF2_HUMAN	ZDBF2 KIAA1571
Q9ULJ7	Q9ULJ7	ANR50_HUMAN	ANKRD50 KIAA1223
Q96PV7	Q96PV7	F193B_HUMAN	FAM193B IRIZIO KIAA1931
P47775	P47775	GPR12_HUMAN	GPR12
P08648	P08648	ITA5_HUMAN	ITGA5 FNRA
P32297	P32297	ACHA3_HUMAN	CHRNA3 NACHRA3
Q8WVC0	Q8WVC0	LEO1_HUMAN	LEO1 RDL
Q9UPS8	Q9UPS8	ANR26_HUMAN	ANKRD26 KIAA1074
P23368	P23368	MAOM_HUMAN	ME2
O15072	O15072	ATS3_HUMAN	ADAMTS3 KIAA0366
P51161	P51161	FABP6_HUMAN	FABP6 ILBP ILLBP
Q5TH74	Q5TH74	STPG1_HUMAN	STPG1 C1orf201
Q99797	Q99797	MIPEP_HUMAN	MIPEP MIP
Q68E01	Q68E01	INT3_HUMAN	INTS3 C1orf193 C1orf60
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1 HSPBP PP1845
P05231	P05231	IL6_HUMAN	IL6 IFNB2
Q14444	Q14444	CAPR1_HUMAN	CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105
Q8TD06	Q8TD06	AGR3_HUMAN	AGR3 BCMP11 PDIA18 UNQ642/PRO1272
O76094	O76094	SRP72_HUMAN	SRP72
Q8TEY7	Q8TEY7	UBP33_HUMAN	USP33 KIAA1097 VDU1
Q8IU89	Q8IU89	CERS3_HUMAN	CERS3 LASS3
Q13495	Q13495	MAMD1_HUMAN	MAMLD1 CG1 CXorf6
P36888	P36888	FLT3_HUMAN	FLT3 CD135 FLK2 STK1
Q9P1Q0	Q9P1Q0	VPS54_HUMAN	VPS54 HCC8
Q8IW35	Q8IW35	CEP97_HUMAN	CEP97 LRRIQ2
Q9P2D1	Q9P2D1	CHD7_HUMAN	CHD7 KIAA1416
Q86VG3	Q86VG3	IFTAP_HUMAN	IFTAP C11orf74 NWC
P42568	P42568	AF9_HUMAN	MLLT3 AF9 YEATS3
Q8N944	Q8N944	AMER3_HUMAN	AMER3 FAM123C
Q86UQ0	Q86UQ0	ZN589_HUMAN	ZNF589 SZF1
Q86UD5	Q86UD5	SL9B2_HUMAN	SLC9B2 NHA2 NHEDC2
Q93052	Q93052	LPP_HUMAN	LPP
Q53GI3	Q53GI3	ZN394_HUMAN	ZNF394 ZKSCAN14
Q9H910	Q9H910	JUPI2_HUMAN	JPT2 C16orf34 HN1L L11
Q9P253	Q9P253	VPS18_HUMAN	VPS18 KIAA1475
Q9NS82	Q9NS82	AAA1_HUMAN	SLC7A10 ASC1
Q9Y3T6	Q9Y3T6	R3HC1_HUMAN	R3HCC1
Q14145	Q14145	KEAP1_HUMAN	KEAP1 INRF2 KIAA0132 KLHL19
Q8TBN0	Q8TBN0	R3GEF_HUMAN	RAB3IL1
Q9NR83	Q9NR83	S2A4R_HUMAN	SLC2A4RG HDBP1
Q9H4H8	Q9H4H8	FA83D_HUMAN	FAM83D C20orf129
Q8N6W0	Q8N6W0	CELF5_HUMAN	CELF5 BRUNOL5
Q9HBU9	Q9HBU9	POPD2_HUMAN	POPDC2 POP2
P16591	P16591	FER_HUMAN	FER TYK3
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL AHAS HACL2
P16157	P16157	ANK1_HUMAN	ANK1 ANK
Q8NB15	Q8NB15	ZN511_HUMAN	ZNF511
P06239	P06239	LCK_HUMAN	LCK
Q9Y6H6	Q9Y6H6	KCNE3_HUMAN	KCNE3
Q9H015	Q9H015	S22A4_HUMAN	SLC22A4 ETT OCTN1 UT2H
Q96P20	Q96P20	NLRP3_HUMAN	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1
Q6DD87	Q6DD87	ZN787_HUMAN	ZNF787
Q96BM9	Q96BM9	ARL8A_HUMAN	ARL8A ARL10B GIE2
Q9P287	Q9P287	BCCIP_HUMAN	BCCIP TOK1
P07320	P07320	CRGD_HUMAN	CRYGD CRYG4
Q9P219	Q9P219	DAPLE_HUMAN	CCDC88C DAPLE KIAA1509
O14770	O14770	MEIS2_HUMAN	MEIS2 MRG1
Q15700	Q15700	DLG2_HUMAN	DLG2
Q8WW33	Q8WW33	GTSF1_HUMAN	GTSF1 FAM112B
Q15147	Q15147	PLCB4_HUMAN	PLCB4
Q9HCE5	Q9HCE5	MET14_HUMAN	METTL14 KIAA1627
Q9Y265	Q9Y265	RUVB1_HUMAN	RUVBL1 INO80H NMP238 TIP49 TIP49A
P04114	P04114	APOB_HUMAN	APOB
Q14624	Q14624	ITIH4_HUMAN	ITIH4 IHRP ITIHL1 PK120 PRO1851
P55884	P55884	EIF3B_HUMAN	EIF3B EIF3S9
P01859	P01859	IGHG2_HUMAN	IGHG2
Q9H898	Q9H898	ZMAT4_HUMAN	ZMAT4
Q6P995	Q6P995	F171B_HUMAN	FAM171B KIAA1946 NPD019
Q9Y5S1	Q9Y5S1	TRPV2_HUMAN	TRPV2 VRL
Q14894	Q14894	CRYM_HUMAN	CRYM THBP
Q9Y4A5	Q9Y4A5	TRRAP_HUMAN	TRRAP PAF400
Q6NV74	Q6NV74	CRCDL_HUMAN	CRACDL C2orf55 KIAA1211L
Q7Z4K8	Q7Z4K8	TRI46_HUMAN	TRIM46 TRIFIC
Q8IZL9	Q8IZL9	CDK20_HUMAN	CDK20 CCRK CDCH
P30626	P30626	SORCN_HUMAN	SRI
P43378	P43378	PTN9_HUMAN	PTPN9
Q02252	Q02252	MMSA_HUMAN	ALDH6A1 MMSDH
P04150	P04150	GCR_HUMAN	NR3C1 GRL
Q9NYQ6	Q9NYQ6	CELR1_HUMAN	CELSR1 CDHF9 FMI2
P26196	P26196	DDX6_HUMAN	DDX6 HLR2 RCK
Q96PY5	Q96PY5	FMNL2_HUMAN	FMNL2 FHOD2 KIAA1902
Q9H987	Q9H987	SYP2L_HUMAN	SYNPO2L
P20963	P20963	CD3Z_HUMAN	CD247 CD3Z T3Z TCRZ
Q9H6Q3	Q9H6Q3	SLAP2_HUMAN	SLA2 C20orf156 SLAP2
Q8NEV4	Q8NEV4	MYO3A_HUMAN	MYO3A
Q96BY9	Q96BY9	SARAF_HUMAN	SARAF TMEM66 XTP3 HSPC035 NPD003 PSEC0019 UNQ1967/PRO4499
Q8WU90	Q8WU90	ZC3HF_HUMAN	ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730
Q5HY92	Q5HY92	FIGN_HUMAN	FIGN
Q96AG3	Q96AG3	S2546_HUMAN	SLC25A46 TB1
O15403	O15403	MOT7_HUMAN	SLC16A6 MCT6 MCT7
Q9Y657	Q9Y657	SPIN1_HUMAN	SPIN1 OCR SPIN
Q4VC31	Q4VC31	MIX23_HUMAN	MIX23 CCDC58
Q8IYP9	Q8IYP9	ZDH23_HUMAN	ZDHHC23
P98171	P98171	RHG04_HUMAN	ARHGAP4 KIAA0131 RGC1 RHOGAP4
P04629	P04629	NTRK1_HUMAN	NTRK1 MTC TRK TRKA
Q5VY09	Q5VY09	IER5_HUMAN	IER5 PP4583 SBBI48
Q9NZJ4	Q9NZJ4	SACS_HUMAN	SACS DNAJC29 KIAA0730
Q6PIF6	Q6PIF6	MYO7B_HUMAN	MYO7B
Q7RTT5	Q7RTT5	SSX7_HUMAN	SSX7
P78549	P78549	NTH_HUMAN	NTHL1 NTH1 OCTS3
Q8NDH3	Q8NDH3	PEPL1_HUMAN	NPEPL1 KIAA1974
Q6ZN16	Q6ZN16	M3K15_HUMAN	MAP3K15 ASK3
Q9P0W2	Q9P0W2	HM20B_HUMAN	HMG20B BRAF35 HMGX2 HMGXB2 SMARCE1R
Q9UI08	Q9UI08	EVL_HUMAN	EVL RNB6
Q7RTS5	Q7RTS5	OTOP3_HUMAN	OTOP3
Q4L235	Q4L235	ACSF4_HUMAN	AASDH ACSF4 U26 HSPC318
Q99504	Q99504	EYA3_HUMAN	EYA3
Q68CJ9	Q68CJ9	CR3L3_HUMAN	CREB3L3 CREBH HYST1481
Q03431	Q03431	PTH1R_HUMAN	PTH1R PTHR PTHR1
Q9NRM1	Q9NRM1	ENAM_HUMAN	ENAM
Q12791	Q12791	KCMA1_HUMAN	KCNMA1 KCNMA SLO
Q53HL2	Q53HL2	BOREA_HUMAN	CDCA8 PESCRG3
Q16820	Q16820	MEP1B_HUMAN	MEP1B
P24844	P24844	MYL9_HUMAN	MYL9 MLC2 MRLC1 MYRL2
Q6PJP8	Q6PJP8	DCR1A_HUMAN	DCLRE1A KIAA0086 SNM1 SNM1A
Q8WWQ0	Q8WWQ0	PHIP_HUMAN	PHIP DCAF14 WDR11
P01570	P01570	IFN14_HUMAN	IFNA14
P41146	P41146	OPRX_HUMAN	OPRL1 OOR ORL1
Q9C005	Q9C005	DPY30_HUMAN	DPY30
Q9Y6K9	Q9Y6K9	NEMO_HUMAN	IKBKG FIP3 NEMO
Q13761	Q13761	RUNX3_HUMAN	RUNX3 AML2 CBFA3 PEBP2A3
P02795	P02795	MT2_HUMAN	MT2A CES1 MT2
Q2TAL8	Q2TAL8	QRIC1_HUMAN	QRICH1
Q5JTC6	Q5JTC6	AMER1_HUMAN	AMER1 FAM123B WTX
Q96GX2	Q96GX2	A7L3B_HUMAN	ATXN7L3B
Q9BWJ5	Q9BWJ5	SF3B5_HUMAN	SF3B5 SF3B10
Q16774	Q16774	KGUA_HUMAN	GUK1 GMK GMPK
P08235	P08235	MCR_HUMAN	NR3C2 MCR MLR
Q5T447	Q5T447	HECD3_HUMAN	HECTD3
Q92560	Q92560	BAP1_HUMAN	BAP1 KIAA0272 hucep-6
O15194	O15194	CTDSL_HUMAN	CTDSPL C3orf8 NIF1 NIFL SCP3 YA22
Q99613	Q99613	EIF3C_HUMAN	EIF3C EIF3S8
Q68CP4	Q68CP4	HGNAT_HUMAN	HGSNAT TMEM76
Q13451	Q13451	FKBP5_HUMAN	FKBP5 AIG6 FKBP51
O75351	O75351	VPS4B_HUMAN	VPS4B SKD1 VPS42 MIG1
Q9UNM6	Q9UNM6	PSD13_HUMAN	PSMD13
Q9H4G0	Q9H4G0	E41L1_HUMAN	EPB41L1 KIAA0338
Q13325	Q13325	IFIT5_HUMAN	IFIT5 ISG58 RI58
Q86XS8	Q86XS8	GOLI_HUMAN	RNF130
Q5PRF9	Q5PRF9	SMAG2_HUMAN	SAMD4B SMAUG2
Q96PY6	Q96PY6	NEK1_HUMAN	NEK1 KIAA1901
Q9BRR0	Q9BRR0	ZKSC3_HUMAN	ZKSCAN3 ZFP47 ZNF306 ZNF309 ZSCAN13
Q9H267	Q9H267	VP33B_HUMAN	VPS33B
Q9BZ71	Q9BZ71	PITM3_HUMAN	PITPNM3 NIR1
Q9NR34	Q9NR34	MA1C1_HUMAN	MAN1C1 MAN1A3 MAN1C
O94769	O94769	ECM2_HUMAN	ECM2
Q96K83	Q96K83	ZN521_HUMAN	ZNF521 EHZF LIP3
Q9Y6P5	Q9Y6P5	SESN1_HUMAN	SESN1 PA26 SEST1
P13224	P13224	GP1BB_HUMAN	GP1BB
Q5HYL7	Q5HYL7	TM196_HUMAN	TMEM196
Q8IZ83	Q8IZ83	A16A1_HUMAN	ALDH16A1
Q6ZVL6	Q6ZVL6	K154L_HUMAN	KIAA1549L C11orf41 C11orf69
P49790	P49790	NU153_HUMAN	NUP153
Q13098	Q13098	CSN1_HUMAN	GPS1 COPS1 CSN1
Q8NFH5	Q8NFH5	NUP35_HUMAN	NUP35 MP44 NUP53
Q6IMN6	Q6IMN6	CAPR2_HUMAN	CAPRIN2 C1QDC1 EEG1 KIAA1873 RNG140
Q9BWS9	Q9BWS9	CHID1_HUMAN	CHID1 GL008 PSEC0104 SB139
Q13347	Q13347	EIF3I_HUMAN	EIF3I EIF3S2 TRIP1
Q96KP4	Q96KP4	CNDP2_HUMAN	CNDP2 CN2 CPGL HEL-S-13 PEPA
Q7Z3F1	Q7Z3F1	LYCHS_HUMAN	GPR155 PGR22
Q6DKI7	Q6DKI7	PVRIG_HUMAN	PVRIG C7orf15
P54259	P54259	ATN1_HUMAN	ATN1 D12S755E DRPLA
Q643R3	Q643R3	LPCT4_HUMAN	LPCAT4 AGPAT7 AYTL3 LPEAT2
Q8N3C0	Q8N3C0	ASCC3_HUMAN	ASCC3 HELIC1 RQT2
Q92769	Q92769	HDAC2_HUMAN	HDAC2
P63126	P63126	GAK9_HUMAN	ERVK-9
P15498	P15498	VAV_HUMAN	VAV1 VAV
Q92536	Q92536	YLAT2_HUMAN	SLC7A6 KIAA0245
Q3MIN7	Q3MIN7	RGL3_HUMAN	RGL3
Q96FC9	Q96FC9	DDX11_HUMAN	DDX11 CHL1 CHLR1 KRG2
Q9H6Y2	Q9H6Y2	WDR55_HUMAN	WDR55
Q8TF50	Q8TF50	ZN526_HUMAN	ZNF526 KIAA1951
P52333	P52333	JAK3_HUMAN	JAK3
Q16644	Q16644	MAPK3_HUMAN	MAPKAPK3
Q15831	Q15831	STK11_HUMAN	STK11 LKB1 PJS
O15066	O15066	KIF3B_HUMAN	KIF3B KIAA0359
O95292	O95292	VAPB_HUMAN	VAPB UNQ484/PRO983
P20700	P20700	LMNB1_HUMAN	LMNB1 LMN2 LMNB
O14974	O14974	MYPT1_HUMAN	PPP1R12A MBS MYPT1
Q96H15	Q96H15	TIMD4_HUMAN	TIMD4 TIM4
P09110	P09110	THIK_HUMAN	ACAA1 ACAA PTHIO
Q6ZT12	Q6ZT12	UBR3_HUMAN	UBR3 KIAA2024 ZNF650
O60683	O60683	PEX10_HUMAN	PEX10 RNF69
Q6IC98	Q6IC98	GRAM4_HUMAN	GRAMD4 DIP KIAA0767
Q8TE82	Q8TE82	S3TC1_HUMAN	SH3TC1
P52564	P52564	MP2K6_HUMAN	MAP2K6 MEK6 MKK6 PRKMK6 SKK3
Q9NXH9	Q9NXH9	TRM1_HUMAN	TRMT1
O95405	O95405	ZFYV9_HUMAN	ZFYVE9 MADHIP SARA SMADIP
P17706	P17706	PTN2_HUMAN	PTPN2 PTPT
Q9NVC3	Q9NVC3	S38A7_HUMAN	SLC38A7 SNAT7
P48651	P48651	PTSS1_HUMAN	PTDSS1 KIAA0024 PSSA
Q71RC2	Q71RC2	LARP4_HUMAN	LARP4 PP13296
Q9BV73	Q9BV73	CP250_HUMAN	CEP250 CEP2 CNAP1
Q9NR12	Q9NR12	PDLI7_HUMAN	PDLIM7 ENIGMA
Q6PJG6	Q6PJG6	BRAT1_HUMAN	BRAT1 BAAT1 C7orf27
Q9UIW2	Q9UIW2	PLXA1_HUMAN	PLXNA1 NOV PLXN1
Q8NBS9	Q8NBS9	TXND5_HUMAN	TXNDC5 TLP46 UNQ364/PRO700
Q99550	Q99550	MPP9_HUMAN	MPHOSPH9 MPP9
P18627	P18627	LAG3_HUMAN	LAG3 FDC
P61106	P61106	RAB14_HUMAN	RAB14
Q9UPU9	Q9UPU9	SMAG1_HUMAN	SAMD4A KIAA1053 SAMD4 SMAUG1
Q86UE8	Q86UE8	TLK2_HUMAN	TLK2
Q6DN03	Q6DN03	H2B2C_HUMAN	H2BC20P HIST2H2BC
P01282	P01282	VIP_HUMAN	VIP
P46783	P46783	RS10_HUMAN	RPS10
Q15418	Q15418	KS6A1_HUMAN	RPS6KA1 MAPKAPK1A RSK1
P41236	P41236	IPP2_HUMAN	PPP1R2 IPP2
Q9NSY1	Q9NSY1	BMP2K_HUMAN	BMP2K BIKE HRIHFB2017
Q5U651	Q5U651	RAIN_HUMAN	RASIP1
Q9BZZ5	Q9BZZ5	API5_HUMAN	API5 MIG8
